last_name, first_name,player_id,year,player_age,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_foul,b_foul_tip,b_game,woba,wobacon,exit_velocity_avg,launch_angle_avg,barrel,barrel_batted_rate,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,pitch_count,iz_contact_percent,whiff_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,
Pujols, Albert,405395,2022,42,351,83,45,14,0,24,55,28,15.7,8.0,.270,.550,.345,.895,.280,268,13,109,.380,.415,91.2,16.4,31,12,47.3,63.5,12,34.9,36,64,53.4,71,6.7,1385,88,21.3,38,29.5,20.5,12,
Cabrera, Miguel,408234,2022,39,433,101,86,10,0,5,101,28,23.3,6.5,.254,.317,.305,.622,.063,301,19,112,.275,.329,89.9,5,14,4.7,38.2,71.3,19.4,31.5,42.3,57.7,52.9,81,7.1,1643,80.6,27,52.5,19.6,25.9,2,
Molina, Yadier,425877,2022,39,270,56,43,8,0,5,40,5,14.8,1.9,.214,.302,.233,.535,.088,226,14,78,.235,.262,84.7,16.9,7,3.1,26,75.2,18.5,41.3,28.6,71.4,48.9,75.7,7.1,986,81,22,39,29.6,20.2,11.2,
Cano, Robinson,429664,2022,39,104,15,13,1,0,1,25,4,24.0,3.8,.150,.190,.183,.373,.040,88,5,33,.169,.198,88.2,5.8,3,4,41.3,77.3,12.8,40,44,56,55,72,6.5,382,87.2,24.9,54.7,18.7,20,6.7,
Suzuki, Kurt,435559,2022,38,159,25,17,4,0,4,29,15,18.2,9.4,.180,.295,.264,.559,.115,112,6,51,.254,.253,85.2,24.1,4,3.5,26.5,68.1,12.7,27.4,42.5,57.5,49.2,76.2,10.6,593,87.3,21.1,30.1,30.1,21.2,18.6,
Cruz Jr., Nelson,443558,2022,41,507,105,79,16,0,10,119,49,23.5,9.7,.234,.337,.312,.649,.103,356,23,124,.292,.334,90.9,7.2,31,9.3,46.1,72.4,23.2,31.1,50.8,49.2,52.2,80.8,6,1992,76.8,32,53,19.3,22.9,4.8,
Peralta, David,444482,2022,34,490,110,65,30,3,12,114,41,23.3,8.4,.251,.415,.316,.731,.164,348,13,134,.315,.378,90.3,15.1,28,8.5,44.4,69.2,14.3,32.9,49.5,50.2,51.9,70.5,7,1830,85.7,26.2,36.3,28.4,26.3,9.1,
Pina, Manny,444489,2022,35,17,2,2,0,0,0,1,1,5.9,5.9,.143,.143,.235,.378,.000,11,0,5,.187,.126,81.9,9,1,7.1,21.4,67.7,9.5,23.5,25,75,52.3,,0,65,90.5,13.8,57.1,28.6,7.1,7.1,
Escobar, Alcides,444876,2022,35,131,27,21,4,2,0,32,5,24.4,3.8,.218,.282,.260,.542,.065,119,6,40,.242,.291,81.8,15.7,1,1.1,17.4,70.8,15,36.6,34.4,63.3,48.2,70.4,5.3,510,82.4,21.3,38,20.7,30.4,10.9,
Longoria, Evan,446334,2022,36,298,65,38,13,0,14,83,27,27.9,9.1,.244,.451,.315,.767,.207,186,10,89,.330,.425,91.1,18.2,23,12.4,46.8,62.7,22.3,26.1,46.5,53.5,50,74.1,7.2,1187,77.7,29.4,37.1,29,24.2,9.7,
